frequency,hashtag
58197,COVID19
7741,Covid19
6659,covid19
5216,coronavirus
1794,Coronavirus
980,pandemic
724,India
618,corona
602,lockdown
590,CoronavirusPandemic
583,Trump
526,COVID
516,WearAMask
480,Odisha
468,CoronaVirusUpdate
448,Covid_19
445,vaccine
381,IndiaFightsCorona
371,CoronaVirusUpdates
363,CoronaInfoCH
334,CoronaVirus
333,Russia
332,China
307,USA
302,COVIDIOTS
296,Corona
282,BREAKING
275,health
274,mask
253,COVIDー19
238,Pandemic
236,Hydroxychloroquine
235,StaySafe
226,covid
214,Blood
213,TrumpVirus
210,masks
210,SocialDistancing
208,Florida
197,COVID__19
180,Covid
180,auspol
179,healthcare
179,trump
178,SARSCoV2
173,Masks
172,NewZealand
171,MaskUp
165,Texas
165,facemask
156,facemasks
155,Rajasthan
155,StayHome
155,UK
154,Karnataka
154,Pakistan
150,UAE
150,WHO
148,COVID19India
148,education
144,COVID_19
138,business
136,cases
135,Maharashtra
135,Fauci
134,Telangana
131,mentalhealth
130,economy
130,Australia
129,WearADamnMask
129,US
129,Canada
127,Health
127,news
126,NHS
126,Africa
126,AmitShah
126,quarantine
123,Quarantine
122,kids
120,virus
120,travel
119,socialdistancing
118,SouthAfrica
118,BlackLivesMatter
117,BSNL
116,Delhi
115,GOP
115,wearamask
115,vaccines
112,TamilNadu
112,MLB
111,BSNL_Pride_Of_India
111,Lockdown
110,Even
109,AndhraPradesh
109,HongKong
108,COVIDIOT
107,America
106,Hyderabad
105,staysafe
105,willing)
104,Thailand
104,us
104,people
104,counted
103,Nov-3
103,Putin
102,schools
101,photography
101,PPE
100,Brazil
99,moneyforthepeople
99,2019ncov
98,MAGA
96,अनंत_हेगड़े_माफ़ी_मांगो
95,their
95,Congress
95,Brexit
95,California
95,art
94,BBNaijia
93,Assam
93,about
91,Vaccine
90,Nigeria
90,AI
90,cdc
89,Biden
88,Vietnam
88,recession
88,UnitedStates
88,False
88,school
87,during
87,coronavirusuk
87,bbnaijialockdown
86,Georgia
85,Spain
85,BLM
85,RussianVaccine
84,MadhyaPradesh
84,covid_19
84,Uganda
84,Mumbai
83,bbnaijalockdown2020
83,ICYMI
83,BBNaija
82,News
82,BIGNEWS
82,Americans
81,ShivrajSinghChouhan
81,Covid19UK
81,ClimateChange
81,COVIDIDIOTS
80,YouthDay
80,Kerala
80,childern
80,stayhome
78,alreadyvideo
78,technology
77,BorisJohnson
77,influencerchallange
75,webinar
74,Israel
74,tech
74,Europe
74,Germany
74,scams
73,DonaldTrump
73,DrFauci
73,StayAtHome
73,Iran
72,Election2020
72,CDC
72,unemployment
71,Vijayawada
71,CoronavirusOutbreak
71,CoronavirusIndia
71,publichealth
71,early
70,CCP
69,ChimpReportsNews
69,COVID19.
69,children
68,deaths
66,uk
66,through
66,Victoria
65,Qatar
65,testing
64,BreakingNews
64,FakeNews
64,Trump2020
64,Bangladesh
64,France
64,india
64,Plandemic
64,cdnpoli
64,COVID2019
63,Democrats
63,Kashmir
62,cybersecurity
62,kiddrica
61,obesity
61,hydroxychloroquine
60,TelanganaFightsCorona
60,NYC
60,UgandaNews
59,Lebanon
59,positive
59,ChineseVirus
59,safety
58,CORONAVIRUS
58,plandemic
58,tuesdayvibes
58,leadership
58,schoolsreopening
58,NewNormal
58,data
57,insurance
57,Gujarat
57,artists
57,Travel
57,Japan
57,world
57,family
57,InternationalYouthDay
56,Sweden
56,Italy
56,Ontario
55,music
55,DigitalTransformation
55,Mexico
54,Singapore
54,Healthcare
54,Toronto
54,life
54,Chennai
54,Breaking
54,telehealth
54,research
54,Ghana
53,NWO
53,TikTok
53,HIV
53,NFL
53,Alwar
53,Science
53,Wuhan
52,HCQ
52,Philippines
52,love
52,Republicans
51,fitness
51,sundayvibes
51,SaturdayMorning
51,digital
51,World
51,NorthKorea
50,NewYork
50,other
50,Gracepoint
50,COVID19Nigeria
50,Armenia
50,Nepal
50,BBNaijaLockdown
50,WeMerry
50,BeSafe
50,innovation
49,Economy
49,HermanCain
49,TrumpIsACompleteFailure
49,COVID19…
49,COVID19Vic
49,support
49,canada
48,agedcare
48,MentalHealth
48,TrumpHasNoPlan
48,Secondwave
48,CoronavirusVaccine
47,worldnews
47,SecondPeak
47,Bihar
47,SouthKorea
47,thursdaymorning
47,death
46,tourism
46,fight
46,CovidVaccine
46,Mask
46,Amazon
46,podcast
46,TrumpFailedAmerica
46,corruptionmustfall
46,media
46,Srinagar
45,economic
45,spread
45,social
45,CovidHoax
45,bbnaija2020
45,BillGates
45,arizona
45,retweet
44,Protests
44,Education
44,BBNajia
44,cancer
44,deliver
44,DY365
44,against
44,backtoschool
44,COVID19Aus
44,summer
44,ContactTracing
44,BJP
43,WFH
43,ChinaVirus
43,science
43,London
43,flu
43,government
43,politics
43,while
43,Houston
43,Ethiopia
43,Kenya
43,Ganjam
42,IndiaFightsCOVID19
42,Oman
42,IndiaWillWin
42,maga
42,Bitcoin
42,hospital
42,Bengaluru
42,NarendraModi
42,HR
42,freeze”
42,community
42,CoVid19
42,Scotland
42,needs
42,marketing
41,Featured
41,EU
41,StayHomeStaySafe
41,SaudiArabia
41,students
41,QuarantineLife
41,SchoolReopening
40,Biden2020
40,MondayMotivation
40,thedrum
40,gifts
40,Taiwan
40,Scamdemic
40,Business
40,fintech
40,AbhishekBachchan
40,Chinese
40,global
40,Arizona
40,SriLanka
39,jobs
39,shoppingonline
39,@realDonaldTrump
39,fridaymorning
39,5G
39,Facebook
39,Siddaramaiah
39,Level2
39,ireland
39,going
39,Greece
38,NSTnation
38,facecoverings
38,Photographer
38,SaturdayThoughts
38,Jammu
38,businesses
37,racism
